"FirmID","Cohort_Year","Year","VP","Gov","Treated","EventTime"
"IDYA US Equity",2019,2023,112.66,4.669615746,1,4
"IDYA US Equity",2019,2024,155.13,5.680962563,1,5
"IDYA US Equity",2019,2025,3.02,5.170183659,1,6
"IKT US Equity",NA,2019,NA,NA,0,NA
"IKT US Equity",NA,2020,58.73,NA,0,NA
"IKT US Equity",NA,2021,NA,NA,0,NA
"IKT US Equity",NA,2022,13.53,NA,0,NA
"IKT US Equity",NA,2023,79.51,NA,0,NA
"IKT US Equity",NA,2024,NA,NA,0,NA
"IKT US Equity",NA,2025,NA,NA,0,NA
"IMMX US Equity",NA,2019,NA,NA,0,NA
"IMMX US Equity",NA,2020,NA,NA,0,NA
"IMMX US Equity",NA,2021,NA,NA,0,NA
"IMMX US Equity",NA,2022,NA,NA,0,NA
"IMMX US Equity",NA,2023,NA,NA,0,NA
"IMMX US Equity",NA,2024,NA,NA,0,NA
"IMMX US Equity",NA,2025,NA,NA,0,NA
"IMNM US Equity",NA,2019,NA,NA,0,NA
"IMNM US Equity",NA,2020,NA,NA,0,NA
"IMNM US Equity",NA,2021,NA,NA,0,NA
"IMNM US Equity",NA,2022,NA,NA,0,NA
"IMNM US Equity",NA,2023,NA,NA,0,NA
"IMNM US Equity",NA,2024,52.31,NA,0,NA
"IMNM US Equity",NA,2025,250.96,NA,0,NA
"IMRX US Equity",2022,2019,NA,NA,0,-3
"IMRX US Equity",2022,2020,NA,NA,0,-2
"IMRX US Equity",2022,2021,12.69,NA,0,-1
"IMRX US Equity",2022,2022,111.25,NA,1,0
"IMRX US Equity",2022,2023,NA,6.17367363,1,1
"IMRX US Equity",2022,2024,NA,6.605163574,1,2
"IMRX US Equity",2022,2025,NA,6.27154541,1,3
"IMVT US Equity",NA,2019,NA,NA,0,NA
"IMVT US Equity",NA,2020,NA,NA,0,NA
"IMVT US Equity",NA,2021,NA,NA,0,NA
"IMVT US Equity",NA,2022,NA,4.047139645,0,NA
"IMVT US Equity",NA,2023,NA,4.505682945,0,NA
"IMVT US Equity",NA,2024,NA,4.905154228,0,NA
"IMVT US Equity",NA,2025,NA,5.869829655,0,NA
"INBX US Equity",NA,2019,NA,NA,0,NA
"INBX US Equity",NA,2020,NA,NA,0,NA
"INBX US Equity",NA,2021,NA,NA,0,NA
"INBX US Equity",NA,2022,NA,NA,0,NA
"INBX US Equity",NA,2023,NA,NA,0,NA
"INBX US Equity",NA,2024,279.63,NA,0,NA
"INBX US Equity",NA,2025,709.12,NA,0,NA
"IPSC US Equity",NA,2019,NA,NA,0,NA
"IPSC US Equity",NA,2020,NA,NA,0,NA
"IPSC US Equity",NA,2021,NA,NA,0,NA
"IPSC US Equity",NA,2022,NA,NA,0,NA
"IPSC US Equity",NA,2023,69.73,NA,0,NA
"IPSC US Equity",NA,2024,NA,NA,0,NA
"IPSC US Equity",NA,2025,-2.52,NA,0,NA
"IRWD US Equity",2020,2019,-0.61,6.641056538,0,-1
"IRWD US Equity",2020,2020,-3.28,6.65734005,1,0
"IRWD US Equity",2020,2021,-2.12,6.567494869,1,1
"IRWD US Equity",2020,2022,-0.3,6.5499897,1,2
"IRWD US Equity",2020,2023,3.71,7.185311317,1,3
"IRWD US Equity",2020,2024,-0.33,7.181560993,1,4
"IRWD US Equity",2020,2025,-1.05,7.194687843,1,5
"IVVD US Equity",NA,2019,NA,NA,0,NA
"IVVD US Equity",NA,2020,NA,NA,0,NA
